year,region,treat,cpue
2007,bol,mpa,1
2007,bol,mpa,0
2007,bol,mpa,2
2007,bol,mpa,0
2007,bol,mpa,0
2007,bol,mpa,3
2007,bol,mpa,1
2007,bol,mpa,3
2007,bol,mpa,3
2007,bol,mpa,1
2007,bol,mpa,1
2007,bol,mpa,2
2007,bol,mpa,1
2007,bol,mpa,3
2007,bol,mpa,1
2007,bol,mpa,2
2007,bol,mpa,4
2007,bol,mpa,1
2007,bol,con,1
2007,bol,con,1
2007,bol,con,3
2007,bol,con,1
2007,bol,con,3
2007,bol,con,2
2007,bol,con,3
2007,bol,con,2
2007,bol,con,0
2007,bol,con,3
2007,bol,con,2
2007,bol,con,1
2007,bol,con,0
2007,bol,con,1
2007,bol,con,2
2007,bol,con,1
2007,bol,con,1
2007,bol,con,0
2007,bol,con,1
2007,bol,con,0
2007,bol,con,0
2007,bol,con,0
2007,bol,con,2
2007,bol,con,1
2007,bol,con,2
2007,bol,con,0
2007,bol,con,0
2007,bol,con,2
2007,bol,con,1
2007,bol,con,1
2007,bol,con,0
2007,bol,con,1
2007,bol,con,2
2007,bol,con,2
2007,bol,con,2
2007,bol,con,1
2007,bol,con,1
2007,bol,con,2
2007,bol,con,2
2007,bol,con,1
2007,bol,con,0
2007,bol,con,1
2007,bol,con,2
2007,bol,con,0
2007,bol,con,0
2007,bol,con,0
2007,bol,con,0
2007,bol,con,1
2007,bol,con,1
2007,bol,con,2
2007,bol,con,1
2007,bol,con,1
2007,bol,con,2
2007,bol,con,0
2007,bol,con,0
2007,bol,con,2
2007,bol,con,2
2007,bol,con,2
2007,bol,con,2
2007,bol,con,1
2007,bol,con,1
2007,bol,con,0
2007,bol,con,0
2007,bol,con,1
2007,bol,con,1
2007,bol,con,1
2007,bol,con,0
2007,bol,con,0
2007,bol,con,1
2007,bol,con,0
2007,bol,con,3
2007,bol,con,0
2007,bol,con,0
2007,bol,con,0
2007,bol,con,1
2007,bol,con,0
2007,bol,con,2
2007,bol,con,0
2007,bol,con,1
2007,bol,con,1
2007,bol,con,1
2007,bol,con,0
2007,bol,con,0
2007,bol,con,1
2007,bol,con,1
2007,bol,con,1
2007,bol,con,0
2007,bol,con,0
2007,bol,con,3
2007,bol,con,1
2007,bol,con,3
2007,bol,con,0
2007,bol,con,1
2007,bol,con,0
2007,bol,con,0
2007,bol,con,1
2007,bol,con,1
2007,bol,con,0
2007,bol,con,0
2007,bol,con,0
2008,bol,mpa,2
2008,bol,mpa,2
2008,bol,mpa,4
2008,bol,mpa,5
2008,bol,mpa,2
2008,bol,mpa,1
2008,bol,mpa,1
2008,bol,mpa,1
2008,bol,mpa,0
2008,bol,mpa,1
2008,bol,mpa,3
2008,bol,mpa,4
2008,bol,mpa,2
2008,bol,mpa,1
2008,bol,mpa,1
2008,bol,mpa,1
2008,bol,mpa,4
2008,bol,mpa,3
2008,bol,mpa,2
2008,bol,mpa,2
2008,bol,mpa,2
2008,bol,mpa,1
2008,bol,mpa,3
2008,bol,mpa,4
2008,bol,mpa,1
2008,bol,mpa,1
2008,bol,mpa,1
2008,bol,mpa,1
2008,bol,mpa,1
2008,bol,mpa,1
2008,bol,mpa,2
2008,bol,mpa,1
2008,bol,mpa,0
2008,bol,mpa,1
2008,bol,mpa,4
2008,bol,mpa,4
2008,bol,mpa,3
2008,bol,mpa,0
2008,bol,mpa,1
2008,bol,mpa,1
2008,bol,mpa,1
2008,bol,mpa,3
2008,bol,mpa,1
2008,bol,mpa,3
2008,bol,mpa,0
2008,bol,mpa,2
2008,bol,mpa,0
2008,bol,mpa,2
2008,bol,mpa,3
2008,bol,mpa,0
2008,bol,mpa,1
2008,bol,mpa,2
2008,bol,mpa,0
2008,bol,mpa,0
2008,bol,mpa,0
2008,bol,mpa,2
2008,bol,mpa,2
2008,bol,mpa,1
2008,bol,mpa,6
2008,bol,mpa,3
2008,bol,mpa,5
2008,bol,mpa,1
2008,bol,mpa,0
2008,bol,mpa,1
2008,bol,mpa,3
2008,bol,mpa,1
2008,bol,mpa,2
2008,bol,mpa,4
2008,bol,mpa,2
2008,bol,mpa,0
2008,bol,mpa,2
2008,bol,mpa,1
2008,bol,mpa,2
2008,bol,mpa,2
2008,bol,mpa,2
2008,bol,mpa,1
2008,bol,mpa,1
2008,bol,mpa,1
2008,bol,mpa,2
2008,bol,mpa,1
2008,bol,mpa,2
2008,bol,mpa,2
2008,bol,mpa,0
2008,bol,mpa,4
2008,bol,mpa,3
2008,bol,mpa,1
2008,bol,mpa,0
